frame_index,accepted_beat_delay_seconds,accepted_beat_limiter_joints,accepted_beat_pose_error_rad,accepted_beat_time_seconds,audio_history_seconds,audio_time_seconds,beat_quality,boundary_effect_weight,bridge_acceleration_residual,bridge_attempts,bridge_failure_reason,bridge_generation,bridge_output_modified,bridge_position_residual,bridge_preparation_status,bridge_velocity_residual,collision_override,current_motion_cluster_id,current_motion_id,current_phase,dynamic_range_db,entry_contact_score,entry_feature_ms,entry_frame_index,entry_music_score,entry_phase,entry_pose_score,entry_remaining_seconds,entry_root_score,entry_total_score,entry_velocity_score,event,exit_frame_index,exit_phase,exit_seconds,failed_motion_ids,fallback_reason,limiter_activated_joints,limiter_activation_rate,limiter_enabled,match_confidence,match_rejection_reason,match_state,motion_fully_ready_ms,motion_grounding_ms,motion_load_ms,motion_margin,motion_timing,negative_style_score,output_max_joint_acceleration_rad_s2,output_max_joint_speed_rad_s,output_max_wrist_abs_rad,output_max_wrist_angle_joint,output_max_wrist_speed_joint,output_max_wrist_speed_rad_s,pending_motion_cluster_id,pending_motion_id,phase_correction_remaining,post_switch_xy_delta_m,post_switch_yaw_delta_rad,post_switch_z_delta_m,preferred_motion_id,preparation_delay_seconds,query_bpm,query_tags,ranked_motions,ranked_tracks,raw_max_wrist_abs_rad,raw_max_wrist_angle_joint,raw_max_wrist_speed_joint,raw_max_wrist_speed_rad_s,ready_motion_ids,ready_pool_size,root_x,root_y,root_yaw,root_z,shortlist,signal_rms,speed_multiplier,switch_anchor_xy_delta_m,switch_anchor_yaw_delta_rad,switch_anchor_z_delta_m,target_max_joint_speed_rad_s,target_speed_multiplier,terminal_safe_idle_active,terminal_time_seconds,top_genre,top_genre_score,top_motion_id,top_motion_score,top_track_id,top_track_score,track_margin,transition_backend,transition_blend,transition_duration_seconds,transition_motion_id,transition_pair_count,transition_phase,transition_preparation_seconds,transition_reason,transition_speed_multiplier,trimmed_seconds,wall_time_seconds
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,0.000000000,,0.000000,0.024000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.106147910,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.019810,-0.008312,-0.072942,0.819063,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.019363100
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,0.000000000,,0.000000,0.056000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.109615534,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.016258,-0.009171,-0.073577,0.821230,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.052181400
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,0.000000000,,0.000000,0.088000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.113069572,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.013141,-0.009978,-0.071750,0.822930,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.085320300
66,,,0.000000000,,0.000000,0.120000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.114877148,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.011309,-0.010584,-0.070909,0.823514,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.102729700
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,0.000000000,,0.000000,0.152000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.118287308,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.009319,-0.011118,-0.068064,0.824559,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.135266500
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,0.000000000,,0.000000,0.184000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.121772463,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.005595,-0.012439,-0.065205,0.824855,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.168892400
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,0.000000000,,0.000000,0.216000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.125282390,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.003239,-0.013584,-0.063283,0.825080,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.202580200
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,0.000000000,,0.000000,0.248000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.128753927,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.001978,-0.015037,-0.060736,0.825125,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.235580200
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,0.000000000,,0.000000,0.280000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.132202497,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.001436,-0.016684,-0.058110,0.825015,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.268755900
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,0.000000000,,0.000000,0.312000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.135706038,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.001677,-0.018352,-0.057687,0.824309,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.302192300
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,0.000000000,,0.000000,0.344000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.139159461,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.002254,-0.019810,-0.060335,0.823310,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.335226300
81,,,0.000000000,,0.000000,0.344000,,1.0,,,,0,0,,awaiting_retrieval,,0,LO:v0:k1:r1,gLO_sBM_cAll_d13_mLO2_ch02,0.140935576,,,,,,,,,,,,,,,,,,,0.000000000,1,,,warming_up,,,,,beat-sync,,0.000000,0.000000,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,1.972219944,right_wrist_roll,left_wrist_pitch,0.000000000,,0,-0.002132,-0.020436,-0.062173,0.822668,,,1.000000,0.000000000,0.000000000,0.000000000,0.000000,1.000000,0,,,,,,,,,hermite,0.000000,0.000000,,,,,,,,0.351941500
