motion_a,motion_b,dtw_deg,aligned_deg,same_genre
gLO_sBM_cAll_d13_mLO3_ch01,gLO_sBM_cAll_d15_mLO4_ch01,8.5522,8.8418,True
gHO_sBM_cAll_d21_mHO3_ch02,gHO_sBM_cAll_d21_mHO4_ch02,8.5544,19.1045,True
gPO_sBM_cAll_d10_mPO2_ch01,gPO_sBM_cAll_d11_mPO5_ch01,8.6615,8.8901,True
gJB_sBM_cAll_d09_mJB4_ch01,gJB_sBM_cAll_d09_mJB5_ch01,8.667,17.42,True
gJS_sBM_cAll_d01_mJS3_ch04,gJS_sBM_cAll_d03_mJS3_ch04,8.6692,14.6741,True
gJS_sBM_cAll_d02_mJS4_ch01,gJS_sBM_cAll_d03_mJS3_ch01,8.68,10.7205,True
gLO_sBM_cAll_d13_mLO1_ch01,gLO_sBM_cAll_d13_mLO3_ch01,8.7009,9.9612,True
gJS_sBM_cAll_d01_mJS2_ch01,gJS_sBM_cAll_d03_mJS5_ch01,8.7144,11.3642,True
gPO_sBM_cAll_d11_mPO1_ch01,gPO_sBM_cAll_d11_mPO4_ch01,8.722,10.8811,True
gLH_sBM_cAll_d17_mLH4_ch02,gLH_sBM_cAll_d17_mLH5_ch02,8.7332,10.3074,True
gJS_sBM_cAll_d01_mJS3_ch01,gJS_sBM_cAll_d03_mJS2_ch01,8.7496,12.667,True
gHO_sBM_cAll_d19_mHO1_ch02,gHO_sBM_cAll_d19_mHO2_ch02,8.7595,13.2568,True
gJB_sBM_cAll_d08_mJB0_ch02,gJB_sBM_cAll_d08_mJB1_ch02,8.7597,17.9998,True
gPO_sBM_cAll_d10_mPO0_ch01,gPO_sBM_cAll_d11_mPO4_ch01,8.7639,21.3558,True
gJS_sBM_cAll_d01_mJS3_ch01,gJS_sBM_cAll_d03_mJS4_ch01,8.7641,11.7926,True
gPO_sBM_cAll_d10_mPO2_ch01,gPO_sBM_cAll_d11_mPO0_ch01,8.7669,9.2748,True
gLO_sBM_cAll_d13_mLO0_ch02,gLO_sBM_cAll_d13_mLO1_ch02,8.7937,10.4703,True
gPO_sBM_cAll_d11_mPO0_ch01,gPO_sBM_cAll_d12_mPO3_ch01,8.8461,9.4977,True
gPO_sBM_cAll_d10_mPO1_ch01,gPO_sBM_cAll_d10_mPO2_ch01,8.8849,10.3022,True
gKR_sBM_cAll_d28_mKR0_ch02,gLH_sBM_cAll_d17_mLH4_ch08,8.9211,9.7652,False
gJS_sBM_cAll_d01_mJS3_ch01,gJS_sBM_cAll_d03_mJS3_ch01,8.9226,11.2858,True
gJS_sBM_cAll_d02_mJS4_ch01,gJS_sBM_cAll_d03_mJS5_ch01,8.9888,11.2113,True
gPO_sBM_cAll_d10_mPO0_ch01,gPO_sBM_cAll_d11_mPO0_ch01,9.0619,24.3125,True
gHO_sBM_cAll_d19_mHO1_ch01,gHO_sBM_cAll_d19_mHO3_ch01,9.0639,11.8296,True
gJB_sBM_cAll_d08_mJB0_ch01,gJB_sBM_cAll_d08_mJB1_ch01,9.0725,17.2761,True
gPO_sBM_cAll_d10_mPO2_ch01,gPO_sBM_cAll_d10_mPO3_ch01,9.081,10.1372,True
gHO_sBM_cAll_d20_mHO0_ch01,gHO_sBM_cAll_d20_mHO4_ch01,9.0958,10.6206,True
gJS_sBM_cAll_d01_mJS3_ch01,gJS_sBM_cAll_d03_mJS5_ch01,9.1244,12.261,True
gHO_sBM_cAll_d21_mHO3_ch02,gHO_sBM_cAll_d21_mHO5_ch02,9.1394,19.7593,True
gPO_sBM_cAll_d10_mPO0_ch01,gPO_sBM_cAll_d12_mPO4_ch01,9.145,26.7327,True
gHO_sBM_cAll_d19_mHO2_ch01,gHO_sBM_cAll_d19_mHO3_ch01,9.1631,9.3326,True
gPO_sBM_cAll_d11_mPO1_ch01,gPO_sBM_cAll_d12_mPO3_ch01,9.2932,10.3207,True
gPO_sBM_cAll_d11_mPO1_ch01,gPO_sBM_cAll_d12_mPO2_ch01,9.2951,10.8689,True
gPO_sBM_cAll_d10_mPO1_ch01,gPO_sBM_cAll_d11_mPO4_ch01,9.4108,10.7961,True
gPO_sBM_cAll_d10_mPO3_ch01,gPO_sBM_cAll_d12_mPO2_ch01,9.468,10.4554,True
gLH_sBM_cAll_d17_mLH4_ch08,gLH_sBM_cAll_d17_mLH4_ch10,9.5434,10.9544,True
gPO_sBM_cAll_d10_mPO3_ch01,gPO_sBM_cAll_d11_mPO1_ch01,9.5747,9.9241,True
gBR_sBM_cAll_d04_mBR1_ch01,gBR_sBM_cAll_d04_mBR2_ch01,9.5902,9.6406,True
gJS_sBM_cAll_d01_mJS1_ch01,gJS_sBM_cAll_d02_mJS1_ch01,9.5932,13.3734,True
gPO_sBM_cAll_d10_mPO0_ch01,gPO_sBM_cAll_d11_mPO5_ch01,9.6192,21.7047,True
gHO_sBM_cAll_d19_mHO0_ch02,gHO_sBM_cAll_d19_mHO1_ch02,9.6998,13.1954,True
gPO_sBM_cAll_d10_mPO3_ch01,gPO_sBM_cAll_d12_mPO5_ch01,9.7312,9.9341,True
gJS_sBM_cAll_d01_mJS0_ch01,gJS_sBM_cAll_d02_mJS1_ch01,9.7731,13.5286,True
gHO_sBM_cAll_d21_mHO2_ch02,gHO_sBM_cAll_d21_mHO4_ch02,9.797,12.2882,True
gPO_sBM_cAll_d10_mPO1_ch05,gPO_sBM_cAll_d10_mPO1_ch06,9.8063,11.6958,True
gJB_sBM_cAll_d09_mJB3_ch01,gJB_sBM_cAll_d09_mJB5_ch01,9.8338,20.5547,True
gHO_sBM_cAll_d21_mHO4_ch02,gHO_sBM_cAll_d21_mHO5_ch02,9.8797,10.3115,True
gPO_sBM_cAll_d10_mPO0_ch01,gPO_sBM_cAll_d10_mPO1_ch01,9.8844,20.1341,True
gPO_sBM_cAll_d10_mPO0_ch01,gPO_sBM_cAll_d12_mPO3_ch01,9.9534,27.0356,True
gLO_sBM_cAll_d15_mLO3_ch01,gLO_sBM_cAll_d15_mLO4_ch01,9.9863,10.273,True
gPO_sBM_cAll_d10_mPO2_ch01,gPO_sBM_cAll_d12_mPO4_ch01,9.9968,10.7051,True
gPO_sBM_cAll_d11_mPO1_ch01,gPO_sBM_cAll_d12_mPO4_ch01,10.0015,10.5515,True
gHO_sBM_cAll_d21_mHO4_ch01,gHO_sBM_cAll_d21_mHO5_ch01,10.0017,10.5923,True
gLH_sBM_cAll_d17_mLH4_ch08,gPO_sBM_cAll_d10_mPO1_ch09,10.0393,11.0101,False
gPO_sBM_cAll_d10_mPO0_ch01,gPO_sBM_cAll_d11_mPO1_ch01,10.0969,24.9426,True
gBR_sBM_cAll_d04_mBR0_ch02,gBR_sBM_cAll_d04_mBR1_ch02,10.1227,12.4606,True
gPO_sBM_cAll_d10_mPO1_ch05,gPO_sBM_cAll_d10_mPO1_ch09,10.1685,11.0882,True
gBR_sBM_cAll_d06_mBR3_ch01,gBR_sBM_cAll_d06_mBR5_ch01,10.1839,11.5411,True
gJS_sBM_cAll_d01_mJS1_ch01,gJS_sBM_cAll_d03_mJS2_ch01,10.2285,13.4506,True
gPO_sBM_cAll_d12_mPO4_ch01,gPO_sBM_cAll_d12_mPO5_ch01,10.233,10.5638,True
gPO_sBM_cAll_d10_mPO2_ch01,gPO_sBM_cAll_d11_mPO1_ch01,10.2416,10.789,True
gMH_sBM_cAll_d23_mMH4_ch02,gMH_sBM_cAll_d23_mMH5_ch02,10.257,15.9912,True
gPO_sBM_cAll_d11_mPO0_ch02,gPO_sBM_cAll_d11_mPO5_ch02,10.3626,11.8359,True
gJS_sBM_cAll_d01_mJS1_ch01,gJS_sBM_cAll_d03_mJS4_ch01,10.3665,12.4449,True
gPO_sBM_cAll_d10_mPO0_ch01,gPO_sBM_cAll_d12_mPO2_ch01,10.3728,26.5053,True
gHO_sBM_cAll_d21_mHO2_ch01,gHO_sBM_cAll_d21_mHO4_ch01,10.3811,10.9844,True
gJB_sBM_cAll_d09_mJB3_ch02,gJB_sBM_cAll_d09_mJB5_ch02,10.401,26.8492,True
gLH_sBM_cAll_d17_mLH4_ch08,gPO_sBM_cAll_d10_mPO1_ch05,10.4314,10.5559,False
gLO_sBM_cAll_d15_mLO2_ch01,gLO_sBM_cAll_d15_mLO5_ch01,10.4656,10.8213,True
gJS_sBM_cAll_d01_mJS0_ch01,gJS_sBM_cAll_d03_mJS4_ch01,10.4987,12.2348,True
gLO_sBM_cAll_d14_mLO4_ch01,gLO_sBM_cAll_d14_mLO5_ch01,10.5139,19.3703,True
gPO_sBM_cAll_d10_mPO1_ch01,gPO_sBM_cAll_d11_mPO5_ch01,10.5313,11.5523,True
gPO_sBM_cAll_d10_mPO2_ch02,gPO_sBM_cAll_d10_mPO3_ch02,10.5371,12.0586,True
gPO_sBM_cAll_d11_mPO5_ch01,gPO_sBM_cAll_d12_mPO2_ch01,10.5652,11.638,True
gLO_sBM_cAll_d13_mLO0_ch01,gLO_sBM_cAll_d15_mLO4_ch01,10.5701,11.5416,True
gLO_sBM_cAll_d15_mLO4_ch01,gLO_sBM_cAll_d15_mLO5_ch01,10.5753,11.543,True
gHO_sBM_cAll_d20_mHO0_ch02,gHO_sBM_cAll_d20_mHO5_ch02,10.5852,11.2962,True
gLO_sBM_cAll_d13_mLO0_ch02,gLO_sBM_cAll_d13_mLO3_ch02,10.5961,11.3218,True
gPO_sBM_cAll_d10_mPO3_ch01,gPO_sBM_cAll_d11_mPO5_ch01,10.6286,11.4575,True
gJB_sBM_cAll_d08_mJB0_ch02,gJB_sBM_cAll_d08_mJB4_ch02,10.689,20.1884,True
gPO_sBM_cAll_d10_mPO3_ch01,gPO_sBM_cAll_d11_mPO4_ch01,10.7001,12.7521,True
gJS_sBM_cAll_d01_mJS0_ch01,gJS_sBM_cAll_d03_mJS2_ch01,10.7077,13.3767,True
gHO_sBM_cAll_d20_mHO0_ch01,gHO_sBM_cAll_d20_mHO5_ch01,10.7284,11.9385,True
gPO_sBM_cAll_d12_mPO2_ch01,gPO_sBM_cAll_d12_mPO5_ch01,10.7291,11.432,True
gJB_sBM_cAll_d07_mJB0_ch01,gJB_sBM_cAll_d07_mJB2_ch01,10.7504,12.7418,True
gLH_sBM_cAll_d17_mLH4_ch10,gPO_sBM_cAll_d10_mPO1_ch09,10.7713,13.0063,False
gKR_sBM_cAll_d28_mKR2_ch02,gKR_sBM_cAll_d28_mKR3_ch02,10.7784,17.3837,True
gJS_sBM_cAll_d01_mJS1_ch01,gJS_sBM_cAll_d03_mJS5_ch01,10.7878,13.2989,True
gLO_sBM_cAll_d13_mLO0_ch01,gLO_sBM_cAll_d14_mLO5_ch01,10.8197,18.6425,True
gPO_sBM_cAll_d11_mPO5_ch01,gPO_sBM_cAll_d12_mPO3_ch01,10.8417,11.8931,True
gHO_sBM_cAll_d20_mHO0_ch02,gHO_sBM_cAll_d20_mHO1_ch02,10.8465,13.1398,True
gKR_sBM_cAll_d28_mKR0_ch02,gPO_sBM_cAll_d10_mPO1_ch09,10.8764,12.4358,False
gPO_sBM_cAll_d12_mPO3_ch02,gPO_sBM_cAll_d12_mPO5_ch02,10.8842,12.6427,True
gJB_sBM_cAll_d08_mJB1_ch02,gJB_sBM_cAll_d08_mJB4_ch02,10.8879,24.0908,True
gHO_sBM_cAll_d19_mHO1_ch02,gHO_sBM_cAll_d21_mHO2_ch02,10.8914,17.6627,True
gKR_sBM_cAll_d28_mKR0_ch02,gLH_sBM_cAll_d17_mLH4_ch10,10.9142,11.8877,False
gLH_sBM_cAll_d16_mLH0_ch01,gLH_sBM_cAll_d16_mLH0_ch02,10.9406,11.6994,True
gBR_sBM_cAll_d04_mBR1_ch02,gBR_sBM_cAll_d04_mBR2_ch02,10.9795,11.073,True
gMH_sBM_cAll_d22_mMH0_ch02,gMH_sBM_cAll_d22_mMH1_ch02,11.0177,16.0454,True
gPO_sBM_cAll_d11_mPO0_ch02,gPO_sBM_cAll_d11_mPO1_ch02,11.0191,11.9792,True
gBR_sBM_cAll_d06_mBR4_ch01,gBR_sBM_cAll_d06_mBR5_ch01,11.033,12.3119,True
gJS_sBM_cAll_d01_mJS0_ch01,gJS_sBM_cAll_d03_mJS5_ch01,11.0363,13.217,True
gLO_sBM_cAll_d13_mLO1_ch01,gLO_sBM_cAll_d15_mLO4_ch01,11.1028,11.7718,True
gLO_sBM_cAll_d13_mLO0_ch01,gLO_sBM_cAll_d15_mLO3_ch01,11.1238,11.7556,True
gBR_sBM_cAll_d04_mBR0_ch01,gBR_sBM_cAll_d04_mBR1_ch01,11.1363,11.6106,True
gPO_sBM_cAll_d12_mPO2_ch02,gPO_sBM_cAll_d12_mPO4_ch02,11.161,11.5181,True
gPO_sBM_cAll_d10_mPO2_ch01,gPO_sBM_cAll_d12_mPO3_ch01,11.1657,11.7075,True
gPO_sBM_cAll_d10_mPO0_ch02,gPO_sBM_cAll_d10_mPO1_ch05,11.1754,14.4293,True
gPO_sBM_cAll_d11_mPO4_ch01,gPO_sBM_cAll_d12_mPO2_ch01,11.176,11.7968,True
gPO_sBM_cAll_d10_mPO1_ch06,gPO_sBM_cAll_d10_mPO1_ch09,11.1833,13.6487,True
gLO_sBM_cAll_d15_mLO3_ch01,gLO_sBM_cAll_d15_mLO5_ch01,11.1872,11.7207,True
gPO_sBM_cAll_d10_mPO1_ch01,gPO_sBM_cAll_d10_mPO3_ch01,11.2169,13.4146,True
gPO_sBM_cAll_d11_mPO4_ch01,gPO_sBM_cAll_d12_mPO4_ch01,11.228,12.676,True
gJB_sBM_cAll_d08_mJB1_ch02,gJB_sBM_cAll_d08_mJB5_ch02,11.2329,26.4654,True
gPO_sBM_cAll_d11_mPO5_ch01,gPO_sBM_cAll_d12_mPO4_ch01,11.2537,12.1073,True
gPO_sBM_cAll_d10_mPO0_ch02,gPO_sBM_cAll_d10_mPO3_ch02,11.2564,12.8624,True
gJS_sBM_cAll_d01_mJS1_ch01,gJS_sBM_cAll_d03_mJS3_ch01,11.2954,12.6804,True
gLO_sBM_cAll_d13_mLO0_ch01,gLO_sBM_cAll_d13_mLO3_ch01,11.3156,12.3386,True
gHO_sBM_cAll_d19_mHO0_ch01,gHO_sBM_cAll_d19_mHO3_ch01,11.3348,12.6847,True
gLH_sBM_cAll_d17_mLH4_ch10,gPO_sBM_cAll_d10_mPO1_ch05,11.3407,12.5836,False
gPO_sBM_cAll_d10_mPO2_ch02,gPO_sBM_cAll_d11_mPO4_ch02,11.3572,14.599,True
gBR_sBM_cAll_d04_mBR0_ch02,gBR_sBM_cAll_d04_mBR2_ch02,11.3828,12.4702,True
gPO_sBM_cAll_d11_mPO4_ch01,gPO_sBM_cAll_d12_mPO3_ch01,11.4317,12.5935,True
gJS_sBM_cAll_d01_mJS0_ch01,gJS_sBM_cAll_d03_mJS3_ch01,11.4725,12.5229,True
gPO_sBM_cAll_d12_mPO3_ch02,gPO_sBM_cAll_d12_mPO4_ch02,11.4889,12.1121,True
gPO_sBM_cAll_d10_mPO1_ch09,gPO_sBM_cAll_d11_mPO4_ch02,11.4991,13.5649,True
gKR_sBM_cAll_d28_mKR0_ch02,gPO_sBM_cAll_d10_mPO1_ch05,11.5086,12.0916,False
gPO_sBM_cAll_d10_mPO2_ch01,gPO_sBM_cAll_d12_mPO2_ch01,11.5176,11.6959,True
gKR_sBM_cAll_d28_mKR1_ch02,gKR_sBM_cAll_d28_mKR3_ch02,11.5223,16.2374,True
gJS_sBM_cAll_d03_mJS2_ch02,gJS_sBM_cAll_d03_mJS3_ch04,11.5353,14.6565,True
gPO_sBM_cAll_d10_mPO1_ch05,gPO_sBM_cAll_d10_mPO1_ch08,11.5686,12.5926,True
gPO_sBM_cAll_d11_mPO1_ch01,gPO_sBM_cAll_d12_mPO5_ch01,11.5707,12.0377,True
gBR_sBM_cAll_d06_mBR3_ch01,gBR_sBM_cAll_d06_mBR4_ch01,11.5775,13.0356,True
gBR_sBM_cAll_d04_mBR0_ch01,gBR_sBM_cAll_d04_mBR2_ch01,11.5821,12.2234,True
gBR_sBM_cAll_d06_mBR2_ch01,gBR_sBM_cAll_d06_mBR3_ch01,11.587,13.3557,True
gJS_sBM_cAll_d01_mJS2_ch02,gJS_sBM_cAll_d02_mJS5_ch02,11.6033,11.8467,True
